Model ID	Model Family Name	Description
PF11307.11	DUF3109	Protein of unknown function (DUF3109)
PF11309.11	DUF3112	Protein of unknown function (DUF3112)
PF11310.11	DUF3113	Protein of unknown function (DUF3113)
PF11311.11	DUF3114	Protein of unknown function (DUF3114)
PF11313.11	DUF3116	Protein of unknown function (DUF3116)
PF11314.11	DUF3117	Protein of unknown function (DUF3117)
PF11317.11	DUF3119	Protein of unknown function (DUF3119)
PF11318.11	DUF3120	Protein of unknown function (DUF3120)
PF11320.11	DUF3122	Protein of unknown function (DUF3122)
PF11321.11	DUF3123	Protein of unknown function (DUF3123)
PF11322.11	DUF3124	Protein of unknown function (DUF3124)
PF11324.11	DUF3126	Protein of unknown function (DUF3126)
PF11325.11	DUF3127	Domain of unknown function (DUF3127)
PF11326.11	DUF3128	Protein of unknown function (DUF3128)
PF11328.11	DUF3130	Protein of unknown function (DUF3130
PF11329.11	DUF3131	Protein of unknown function (DUF3131)
PF11332.11	DUF3134	Protein of unknown function (DUF3134)
PF11333.11	DUF3135	Protein of unknown function (DUF3135)
PF11334.11	DUF3136	Protein of unknown function (DUF3136)
PF11335.11	DUF3137	Protein of unknown function (DUF3137)
PF11336.11	DUF3138	Protein of unknown function (DUF3138)
PF11337.11	DUF3139	Protein of unknown function (DUF3139)
PF11338.11	DUF3140	Protein of unknown function (DUF3140)
PF11339.11	DUF3141	Protein of unknown function (DUF3141)
PF11340.11	DUF3142	Protein of unknown function (DUF3142)
PF11341.11	DUF3143	Protein of unknown function (DUF3143)
PF11342.11	DUF3144	Protein of unknown function (DUF3144)
PF11343.11	DUF3145	Protein of unknown function (DUF3145)
PF11344.11	DUF3146	Protein of unknown function (DUF3146)
PF11345.11	DUF3147	Protein of unknown function (DUF3147)
PF11346.11	DUF3149	Protein of unknown function (DUF3149)
PF11347.11	DUF3148	Protein of unknown function (DUF3148)
PF11348.11	DUF3150	Protein of unknown function (DUF3150)
PF11349.11	DUF3151	Protein of unknown function (DUF3151)
PF11350.11	DUF3152	Protein of unknown function (DUF3152)
PF11352.11	DUF3155	Protein of unknown function (DUF3155)
PF11353.11	DUF3153	Protein of unknown function (DUF3153)
PF11354.11	DUF3156	Protein of unknown function (DUF3156)
PF11355.11	DUF3157	Protein of unknown function (DUF3157)
PF11358.11	DUF3158	Protein of unknown function (DUF3158)
PF11360.11	DUF3110	Protein of unknown function (DUF3110)
PF11361.11	DUF3159	Protein of unknown function (DUF3159)
PF11362.11	DUF3161	Protein of unknown function (DUF3161)
PF11363.11	DUF3164	Protein of unknown function (DUF3164)
PF11364.11	DUF3165	Protein of unknown function (DUF3165)
PF11367.11	DUF3168	Protein of unknown function (DUF3168)
PF11368.11	DUF3169	Protein of unknown function (DUF3169)
PF11369.11	DUF3160	Protein of unknown function (DUF3160)
PF11371.11	DUF3172	Protein of unknown function (DUF3172)
PF11372.11	DUF3173	Domain of unknown function (DUF3173)
PF11373.11	DUF3175	Protein of unknown function (DUF3175)
PF11374.11	DUF3176	Protein of unknown function (DUF3176)
PF11375.11	DUF3177	Protein of unknown function (DUF3177)
PF11376.11	DUF3179	Protein of unknown function (DUF3179)
PF11377.11	DUF3180	Protein of unknown function (DUF3180)
PF11378.11	DUF3181	Protein of unknown function (DUF3181)
PF11379.11	DUF3182	Protein of unknown function (DUF3182)
PF11381.11	DUF3185	Protein of unknown function (DUF3185)
PF11383.11	DUF3187	Protein of unknown function (DUF3187)
PF11384.11	DUF3188	Protein of unknown function (DUF3188)
PF11385.11	DUF3189	Protein of unknown function (DUF3189)
PF11387.11	DUF2795	Protein of unknown function (DUF2795)
PF11391.11	DUF2798	Protein of unknown function (DUF2798)
PF11392.11	DUF2877	Protein of unknown function (DUF2877)
PF11394.11	DUF2875	Protein of unknown function (DUF2875)
PF11398.11	DUF2813	Protein of unknown function (DUF2813)
PF11399.11	DUF3192	Protein of unknown function (DUF3192)
PF11419.11	DUF3194	Protein of unknown function (DUF3194)
PF11424.11	DUF3195	Protein of unknown function (DUF3195)
PF11428.11	DUF3196	Protein of unknown function (DUF3196)
PF11432.11	DUF3197	Protein of unknown function (DUF3197)
PF11433.11	DUF3198	Protein of unknown function (DUF3198)
PF11436.11	DUF3199	Protein of unknown function (DUF3199)
PF11442.11	DUF2826	Protein of unknown function (DUF2826)
PF11443.11	DUF2828	Domain of unknown function (DUF2828)
PF11444.11	DUF2895	Protein of unknown function (DUF2895)
PF11445.11	DUF2894	Protein of unknown function (DUF2894)
PF11446.11	DUF2897	Protein of unknown function (DUF2897)
PF11447.11	DUF3201	Protein of unknown function (DUF3201)
PF11448.11	DUF3005	Protein of unknown function (DUF3005)
PF11450.11	DUF3008	Protein of unknwon function (DUF3008)
PF11452.11	DUF3000	Protein of unknown function (DUF3000)
PF11453.11	DUF2950	Protein of unknown function (DUF2950)
PF11454.11	DUF3016	Protein of unknown function (DUF3016)
PF11456.11	DUF3019	Protein of unknown function (DUF3019)
PF11457.11	DUF3021	Protein of unknown function (DUF3021)
PF11460.11	DUF3007	Protein of unknown function (DUF3007)
PF11462.11	DUF3203	Protein of unknown function (DUF3203)
PF11472.11	DUF3206	Protein of unknown function (DUF3206)
PF11482.11	DUF3208	Protein of unknown function (DUF3208)
PF11483.11	DUF3209	Protein of unknown function (DUF3209)
PF11485.11	DUF3211	Protein of unknown function (DUF3211)
PF11486.11	DUF3212	Protein of unknown function (DUF3212)
PF11491.11	DUF3213	Protein of unknown function (DUF3213)
PF11503.11	DUF3215	Protein of unknown function (DUF3215)
PF11505.11	DUF3216	Protein of unknown function (DUF3216)
PF11506.11	DUF3217	Protein of unknown function (DUF3217)
PF11508.11	DUF3218	Protein of unknown function (DUF3218)
PF11514.11	DUF3219	Protein of unknown function (DUF3219)
PF11516.11	DUF3220	Protein of unknown function (DUF3120)
PF11518.11	DUF3221	Protein of unknown function (DUF3221)
PF11519.11	DUF3222	Protein of unknown function (DUF3222)
PF11523.11	DUF3223	Protein of unknown function (DUF3223)
PF11528.11	DUF3224	Protein of unknown function (DUF3224)
PF11533.11	DUF3225	Protein of unknown function (DUF3225)
PF11536.11	DUF3226	Protein of unknown function (DUF3226)
PF11539.11	DUF3228	Protein of unknown function (DUF3228)
PF11553.11	DUF3231	Protein of unknown function (DUF3231)
PF11554.11	DUF3232	Protein of unknown function (DUF3232)
PF11572.11	DUF3234	Protein of unknown function (DUF3234)
PF11578.11	DUF3237	Protein of unknown function (DUF3237)
PF11579.11	DUF3238	Protein of unknown function (DUF3238)
PF11580.11	DUF3239	Protein of unknown function (DUF3239)
PF11582.11	DUF3240	Protein of unknown function (DUF3240)
PF11586.11	DUF3242	Protein of unknown function (DUF3242)
PF11588.11	DUF3243	Protein of unknown function (DUF3243)
PF11589.11	DUF3244	Domain of unknown function (DUF3244)
PF11595.11	DUF3245	Protein of unknown function (DUF3245)
PF11596.11	DUF3246	Protein of unknown function (DUF3246)
PF11607.11	DUF3247	Protein of unknown function (DUF3247)
PF11609.11	DUF3248	Protein of unknown function (DUF3248)
PF11611.11	DUF4352	Domain of unknown function (DUF4352)
PF11622.11	DUF3251	Protein of unknown function (DUF3251)
PF11625.11	DUF3253	Protein of unknown function (DUF3253)
PF11631.11	DUF3255	Protein of unknown function (DUF3255)
PF11644.11	DUF3256	Protein of unknown function (DUF3256)
PF11646.11	DUF3258	Protein of unknown function DUF3258
PF11655.11	DUF2589	Protein of unknown function (DUF2589)
PF11656.11	DUF3811	YjbD family (DUF3811)
PF11659.11	DUF3261	Protein of unknown function (DUF3261)
PF11660.11	DUF3262	Protein of unknown function (DUF3262)
PF11661.11	DUF2986	Protein of unknown function (DUF2986)
PF11662.11	DUF3263	Protein of unknown function (DUF3263)
