Model ID	Model Family Name	Description
PF18944.3	DUF5691	Family of unknown function (DUF5691)
PF18948.3	DUF5692	Family of unknown function (DUF5692)
PF18949.3	DUF5693	Family of unknown function (DUF5693)
PF18950.3	DUF5694	Family of unknown function (DUF5694)
PF18951.3	DUF5695	Family of unknown function (DUF5695)
PF18952.3	DUF5696	Family of unknown function (DUF5696)
PF18954.3	DUF5697	Family of unknown function (DUF5697)
PF18955.3	DUF5698	Domain of unknown function (DUF5698)
PF18956.3	DUF5699	Family of unknown function (DUF5699)
PF18958.3	DUF5700	Putative zinc dependent peptidase (DUF5700)
PF18959.3	DUF5701	Family of unknown function (DUF5701)
PF18960.3	DUF5702	Family of unknown function (DUF5702)
PF18961.3	DUF5703_N	Domain of unknown function (DUF5703)
PF18963.3	DUF5703	Family of unknown function (DUF5703)
PF18964.3	DUF5704	Family of unknown function (DUF5704)
PF18967.3	DUF5706	Family of unknown function (DUF5706)
PF18968.3	DUF5707	Family of unknown function (DUF5707)
PF18969.3	DUF5708	Family of unknown function (DUF5708)
PF18970.3	DUF5709	Family of unknown function (DUF5709)
PF18974.3	DUF5710	Domain of unknown function (DUF5710)
PF18975.3	DUF5711	Family of unknown function (DUF5711)
PF18976.3	DUF5712	Family of unknown function (DUF5712)
PF18977.3	DUF5713	Family of unknown function (DUF5713)
PF18978.3	DUF5714	Family of unknown function (DUF5714)
PF18979.3	DUF5715	Family of unknown function (DUF5715)
PF18980.3	DUF5716_C	Family of unknown function (DUF5716) C-terminal
PF18982.3	DUF5716	Family of unknown function (DUF5716)
PF18983.3	DUF5717	Family of unknown function (DUF5717)C-terminal
PF18984.3	DUF5717_N	Family of unknown function (DUF5717)N-terminal
PF18985.3	DUF5718	Family of unknown function (DUF5718)
PF18986.3	DUF5719	Family of unknown function (DUF5719)
PF18987.3	DUF5720	Family of unknown function (DUF5720)
PF18988.3	DUF5721	Family of unknown function (DUF5721)
PF18989.3	DUF5722	Family of unknown function (DUF5722)
PF18990.3	DUF5723	Family of unknown function (DUF5723)
PF18991.3	DUF5724	Family of unknown function (DUF5724)
PF18992.3	DUF5725	Family of unknown function (DUF5725)
PF18996.3	DUF5726	Family of unknown function (DUF5726)
PF18997.3	DUF5727	Family of unknown function (DUF5727)
PF18999.3	DUF5728	Family of unknown function (DUF5728)
PF19000.3	DUF5729	Family of unknown function (DUF5729)
PF19001.3	DUF5730	Family of unknown function (DUF5730)
PF19002.3	DUF5731	Family of unknown function (DUF5731)
PF19003.3	DUF5732	Family of unknown function (DUF5732)
PF19004.3	DUF5733	Family of unknown function (DUF5733)
PF19005.3	DUF5734	Family of unknown function (DUF5734)
PF19006.3	DUF5735	Family of unknown function (DUF5735)
PF19007.3	DUF5736	Family of unknown function (DUF5736)
PF19008.3	DUF5737	Family of unknown function (DUF5737)
PF19009.3	DUF5738	Family of unknown function (DUF5738)
PF19010.3	DUF5739	Family of unknown function (DUF5739)
PF19011.3	DUF5740	Family of unknown function (DUF5740)
PF19012.3	DUF5741	Family of unknown function (DUF5741)
PF19013.3	DUF5742	Family of unknown function (DUF5742)
PF19014.3	DUF5743	Family of unknown function (DUF5743)
PF19015.3	DUF5744	Family of unknown function (DUF5744)
PF19016.3	DUF5745	Domain of unknown function (DUF5745)
PF19017.3	DUF5746	Domain of unknown function (DUF5746)
PF19022.3	DUF5748	Family of unknown function (DUF5748)
PF19023.3	DUF5749	Family of unknown function (DUF5749)
PF19024.3	DUF5750	Family of unknown function (DUF5750)
PF19025.3	DUF5751	Family of unknown function (DUF5751)
PF19027.3	DUF5752	Family of unknown function (DUF5752)
PF19029.3	DUF883_C	DUF883 C-terminal glycine zipper region
PF19054.3	DUF5753	Domain of unknown function (DUF5753)
PF19058.3	DUF5754	Family of unknown function (DUF5754)
PF19059.3	DUF5755	Family of unknown function (DUF5755)
PF19061.3	DUF5757	Family of unknown function (DUF5757)
PF19062.3	DUF5758	Family of unknown function (DUF5758)
PF19063.3	DUF5759	Family of unknown function (DUF5759)
PF19064.3	DUF5760	Family of unknown function (DUF5760)
PF19065.3	DUF5761	Family of unknown function (DUF5761)
PF19066.3	DUF5762	Family of unknown function (DUF5762)
PF19067.3	DUF5763	Family of unknown function (DUF5763)
PF19068.3	DUF5764	Family of unknown function (DUF5764)
PF19069.3	DUF5765	Family of unknown function (DUF5765)
PF19070.3	DUF5766	Family of unknown function (DUF5766)
PF19071.3	DUF5767	Family of unknown function (DUF5767)
PF19072.3	DUF5768	Family of unknown function (DUF5768)
PF19073.3	DUF5769	Family of unknown function (DUF5769)
PF19074.3	DUF5770	Family of unknown function (DUF5770)
PF19075.3	DUF5771	Family of unknown function (DUF5771)
PF19080.3	DUF5772	Family of unknown function (DUF5772)
PF19082.3	DUF5773	Family of unknown function (DUF5773)
PF19083.3	DUF5774	Family of unknown function (DUF5774)
PF19084.3	DUF5775	Family of unknown function (DUF5775)
PF19087.3	DUF5776	Domain of unknown function (DUF5776)
PF19089.3	DUF5777	Membrane bound beta barrel domain (DUF5777)
PF19090.3	DUF5778	Family of unknown function (DUF5778)
PF19091.3	DUF5779	Family of unknown function (DUF5779)
PF19092.3	DUF5780	Family of unknown function (DUF5780)
PF19093.3	DUF5781	Family of unknown function (DUF5781)
PF19095.3	DUF5783	Family of unknown function (DUF5783)
PF19096.3	DUF5784	Family of unknown function (DUF5784)
PF19098.3	DUF5785	Family of unknown function (DUF5785)
PF19099.3	DUF5786	Family of unknown function (DUF5786)
PF19100.3	DUF5787	Family of unknown function (DUF5787)
PF19101.3	DUF5788	Family of unknown function (DUF5788)
PF19102.3	DUF5789	Family of unknown function (DUF5789)
PF19103.3	DUF5790	Family of unknown function (DUF5790)
PF19104.3	DUF5791	Family of unknown function (DUF5791)
PF19105.3	DUF5792	Family of unknown function (DUF5792)
PF19106.3	DUF5793	Family of unknown function (DUF5793)
PF19107.3	DUF5794	Family of unknown function (DUF5794)
PF19108.3	DUF5795	Family of unknown function (DUF5795)
PF19109.3	DUF5796	Family of unknown function (DUF5796)
PF19110.3	DUF5797	Family of unknown function (DUF5797)
PF19111.3	DUF5798	Family of unknown function (DUF5798)
PF19113.3	DUF5799	Family of unknown function (DUF5799)
PF19115.3	DUF5800	Family of unknown function (DUF5800)
PF19116.3	DUF5801	Domain of unknown function (DUF5801)
PF19118.3	DUF5802	Family of unknown function (DUF5802)
PF19119.3	DUF5803	Family of unknown function (DUF5803)
PF19120.3	DUF5804	Family of unknown function (DUF5804)
PF19121.3	DUF5805	Family of unknown function (DUF5805)
PF19122.3	DUF5806	Family of unknown function (DUF5806)
PF19123.3	DUF5807	Family of unknown function (DUF5807)
PF19124.3	DUF5808	Family of unknown function (DUF5808)
PF19125.3	DUF5809	Family of unknown function (DUF5809)
PF19126.3	DUF5810	Family of unknown function (DUF5810)
PF19128.3	DUF5811	Family of unknown function (DUF5811)
PF19129.3	DUF5812	Family of unknown function (DUF5812)
PF19130.3	DUF5813	Family of unknown function (DUF5813)
PF19131.3	DUF5814	Family of unknown function (DUF5814)
PF19132.3	DUF5815	Family of unknown function (DUF5815)
PF19133.3	DUF5816	Family of unknown function (DUF5816)
PF19134.3	DUF5817	Domain of unknown function (DUF5817)
PF19135.3	DUF5818	Protein of unknown function (DUF5818)
PF19136.3	DUF5819	Family of unknown function (DUF5819)
PF19137.3	DUF5820	Family of unknown function (DUF5820)
PF19138.3	DUF5821	Family of unknown function (DUF5821)
PF19139.3	DUF5822	Family of unknown function (DUF5822)
PF19140.3	DUF5823	Family of unknown function (DUF5823)
PF19141.3	DUF5824	Family of unknown function (DUF5824)
PF19142.3	DUF5825	Family of unknown function (DUF5825)
PF19144.3	DUF5826	Family of unknown function (DUF5826)
PF19145.3	DUF5827	Family of unknown function (DUF5827)
PF19146.3	DUF5828	Family of unknown function (DUF5828)
PF19147.3	DUF5829	Family of unknown function (DUF5829)
PF19148.3	DUF5830	Family of unknown function (DUF5830)
PF19149.3	DUF5831	Family of unknown function (DUF5831)
PF19150.3	DUF5832	Family of unknown function (DUF5832)
PF19152.3	DUF5834	Family of unknown function (DUF5834)
PF19153.3	DUF5835	Family of unknown function (DUF5835)
PF19154.3	DUF5836	Family of unknown function (DUF5836)
PF19155.3	DUF5837	Family of unknown function (DUF5837)
PF19156.3	DUF5838	Family of unknown function (DUF5838)
PF19157.3	DUF5839	Family of unknown function (DUF5839)
PF19158.3	DUF5840	Family of unknown function (DUF5840)
PF19159.3	DUF5841	Family of unknown function (DUF5841)
PF19161.3	DUF5843	Family of unknown function (DUF5843)
PF19162.3	DUF5844	Family of unknown function (DUF5844)
PF19163.3	DUF5845	Family of unknown function (DUF5845)
PF19164.3	DUF5846	Family of unknown function (DUF5846)
PF19165.3	DUF5847	Family of unknown function (DUF5847)
PF19166.3	DUF5848	Family of unknown function (DUF5848)
PF19167.3	DUF5849	Family of unknown function (DUF5849)
PF19168.3	DUF5850	Family of unknown function (DUF5850)
PF19169.3	DUF5851	Family of unknown function (DUF5851)
PF19170.3	DUF5852	Family of unknown function (DUF5852)
PF19171.3	DUF5853	Family of unknown function (DUF5853)
PF19172.3	DUF5854	Family of unknown function (DUF5854)
PF19173.3	DUF5855	Family of unknown function (DUF5855)
PF19174.3	DUF5856	Family of unknown function (DUF5856)
PF19175.3	DUF5857	Family of unknown function (DUF5857)
PF19176.3	DUF5858	Family of unknown function (DUF5858)
PF19177.3	DUF5859	Family of unknown function (DUF5859)
PF19178.3	DUF5860	Family of unknown function (DUF5860)
PF19180.3	DUF5862	Family of unknown function (DUF5862)
PF19181.3	DUF5863	Family of unknown function (DUF5863)
PF19182.3	DUF5864	Family of unknown function (DUF5864)
PF19183.3	DUF5865	Family of unknown function (DUF5865)
PF19184.3	DUF5866	Family of unknown function (DUF5866)
PF19185.3	DUF5867	Family of unknown function (DUF5867)
PF19186.3	DUF5868	Family of unknown function (DUF5868)
PF19194.3	DUF5869	Family of unknown function (DUF5869)
PF19195.3	DUF5870	Family of unknown function (DUF5870)
PF19196.3	DUF5871	Family of unknown function (DUF5871)
PF19197.3	DUF5872	Family of unknown function (DUF5872)
PF19201.3	DUF5873	Family of unknown function (DUF5873)
PF19202.3	DUF5874	Family of unknown function (DUF5874)
PF19203.3	DUF5875	Family of unknown function (DUF5875)
PF19204.3	DUF5876	Family of unknown function (DUF5876)
PF19205.3	DUF5877	Family of unknown function (DUF5877)
PF19206.3	DUF5878	Family of unknown function (DUF5878)
PF19207.3	DUF5879	Family of unknown function (DUF5879)
PF19208.3	DUF5880	Family of unknown function (DUF5880)
PF19228.2	DUF5881	Family of unknown function (DUF5881)
PF19229.2	DUF5882	Family of unknown function (DUF5882)
PF19230.2	DUF5883	Family of unknown function (DUF5883)
PF19231.2	DUF5884	Family of unknown function (DUF5884)
PF19232.2	DUF5885	Family of unknown function (DUF5885)
PF19233.2	DUF5886	Family of unknown function (DUF5886)
PF19234.2	DUF5887	Family of unknown function (DUF5887)
PF19235.2	DUF5888	Family of unknown function (DUF5888)
PF19237.2	DUF5889	Family of unknown function (DUF5889)
PF19240.2	DUF5890	Family of unknown function (DUF5890)
PF19241.2	DUF5891	Family of unknown function (DUF5891)
PF19243.2	DUF5892	Family of unknown function (DUF5892)
PF19245.2	DUF5893	Family of unknown function (DUF5893)
PF19246.2	DUF5894	Family of unknown function (DUF5894)
PF19247.2	DUF5895	Family of unknown function (DUF5895)
PF19248.2	DUF5896	Family of unknown function (DUF5896)
PF19249.2	DUF5897	Family of unknown function (DUF5897)
PF19250.2	DUF5898	Family of unknown function (DUF5898)
PF19251.2	DUF5899	Family of unknown function (DUF5899)
PF19253.2	DUF5900	Family of unknown function (DUF5900)
PF19254.2	DUF5901	Family of unknown function (DUF5901)
PF19255.2	DUF5902	Family of unknown function (DUF5902)
PF19260.2	DUF5903	Family of unknown function (DUF5903)
PF19261.2	DUF5904	Domain of unknown function (DUF5904)
PF19262.2	DUF5905	Family of unknown function (DUF5905)
PF19263.2	DUF5906	Family of unknown function (DUF5906)
PF19264.2	DUF5907	Repeat of unknown function (DUF5907)
PF19265.2	DUF5908	Family of unknown function (DUF5908)
PF19286.2	DUF5909	Domain of unknown function (DUF5909)
PF19287.2	DUF5910	Family of unknown function (DUF5910)
PF19299.2	DUF5914	Domain of unknown function (DUF5914)
PF19302.2	DUF5915	Domain of unknown function (DUF5915)
PF19313.2	DUF5916	Domain of unknown function (DUF5916)
PF19314.2	DUF5917	Family of unknown function (DUF5917)
PF19318.2	DUF5918	Family of unknown function (DUF5918)
PF19319.2	DUF5919	Domain of unknown function (DUF5919)
PF19334.2	DUF5920	Domain of unknown function (DUF5920)
PF19336.2	DUF5921	Domain of unknown function (DUF5921)
PF19343.2	DUF5923	Family of unknown function (DUF5923)
PF19346.2	DUF5924	Family of unknown function (DUF5924)
PF19347.2	DUF5925	Domain of unknown function (DUF5925)
PF19348.2	DUF5926	Family of unknown function (DUF5926)
PF19349.2	DUF5927	Family of unknown function (DUF5927)
PF19350.2	DUF5928	Family of unknown function (DUF5928)
PF19351.2	DUF5929	Domain of unknown function (DUF5929)
PF19353.2	DUF5930	Family of unknown function (DUF5930)
PF19354.2	DUF5931	Family of unknown function (DUF5931)
PF19355.2	DUF5932	Family of unknown function (DUF5932)
PF19356.2	DUF5933	Domain of unknown function (DUF5933)
PF19357.2	DUF5934	Family of unknown function (DUF5934)
PF19358.2	DUF5935	Family of unknown function (DUF5935)
PF19359.2	DUF5936	Family of unknown function (DUF5936)
PF19361.2	DUF5937	Family of unknown function (DUF5937)
PF19362.2	DUF5938	Family of unknown function (DUF5938)
PF19363.2	DUF5939	Family of unknown function (DUF5939)
PF19364.2	DUF5940	Family of unknown function (DUF5940)
PF19365.2	DUF5941	Family of unknown function (DUF5941)
PF19366.2	DUF5942	Domain of unknown function (DUF5942)
PF19367.2	DUF5943	Domain of unknown function (DUF5943)
PF19369.2	DUF5944	Family of unknown function (DUF5944)
PF19370.2	DUF5945	Family of unknown function (DUF5945)
PF19371.2	DUF5946	Family of unknown function (DUF5946)
PF19372.2	DUF5947	Family of unknown function (DUF5947)
PF19373.2	DUF5948	Family of unknown function (DUF5948)
PF19374.2	DUF5949	Family of unknown function (DUF5949)
PF19375.2	DUF5950	Family of unknown function (DUF5950)
PF19376.2	DUF5951	Family of unknown function (DUF5951)
PF19377.2	DUF5952	Family of unknown function (DUF5952)
PF19378.2	DUF5953	Family of unknown function (DUF5953)
PF19379.2	DUF5954	Family of unknown function (DUF5954)
PF19380.2	DUF5955	Family of unknown function (DUF5955)
PF19381.2	DUF5956	Family of unknown function (DUF5956)
PF19382.2	DUF5957	Family of unknown function (DUF5957)
PF19383.2	DUF5958	Family of unknown function (DUF5958)
PF19384.2	DUF5959	Family of unknown function (DUF5959)
PF19385.2	DUF5960	Family of unknown function (DUF5960)
PF19386.2	DUF5961	Family of unknown function (DUF5961)
PF19387.2	DUF5962	Family of unknown function (DUF5962)
PF19388.2	DUF5963	Family of unknown function (DUF5963)
PF19389.2	DUF5964	Family of unknown function (DUF5964)
PF19390.2	DUF5965	Family of unknown function (DUF5965)
PF19391.2	DUF5966	Family of unknown function (DUF5966)
PF19392.2	DUF5967	Family of unknown function (DUF5967)
PF19393.2	DUF5968	Family of unknown function (DUF5968)
PF19394.2	DUF5969	Family of unknown function (DUF5969)
PF19395.2	DUF5970	Family of unknown function (DUF5970)
PF19396.2	DUF5971	Family of unknown function (DUF5971)
PF19397.2	DUF5972	Family of unknown function (DUF5972)
PF19398.2	DUF5973	Family of unknown function (DUF5973)
PF19399.2	DUF5974	Family of unknown function (DUF5974)
PF19400.2	DUF5975	Family of unknown function (DUF5975)
PF19401.2	DUF5976	Family of unknown function (DUF5976)
PF19404.2	DUF5977	Family of unknown function (DUF5977)
PF19405.2	DUF5978	Family of unknown function (DUF5978)
PF19407.2	DUF5979	Domain of unknown function (DUF5979)
PF19410.2	DUF5980	Family of unknown function (DUF5980)
PF19412.2	DUF5982	Domain of unknown function (DUF5982)
PF19419.2	DUF5983	Family of unknown function (DUF5983)
PF19446.2	DUF5984	Family of unknown function (DUF5984)
PF19447.2	DUF5985	Family of unknown function (DUF5985)
PF19448.2	DUF5986	Family of unknown function (DUF5986)
PF19449.2	DUF5987	Family of unknown function (DUF5987)
PF19450.2	DUF5988	Family of unknown function (DUF5988)
PF19451.2	DUF5989	Family of unknown function (DUF5989)
PF19452.2	DUF5990	Family of unknown function (DUF5990)
PF19453.2	DUF5991	Family of unknown function (DUF5991)
PF19454.2	DUF5992	Family of unknown function (DUF5992)
PF19455.2	DUF5993	Family of unknown function (DUF5993)
PF19457.2	DUF5994	Family of unknown function (DUF5994)
PF19458.2	DUF5995	Family of unknown function (DUF5995)
PF19459.2	DUF5996	Family of unknown function (DUF5996)
PF19460.2	DUF5997	Family of unknown function (DUF5997)
PF19461.2	DUF5998	Family of unknown function (DUF5998)
PF19462.2	DUF5999	Family of unknown function (DUF5999)
PF19463.2	DUF6000	Family of unknown function (DUF6000)
PF19464.2	DUF6001	Family of unknown function (DUF6001)
PF19465.2	DUF6002	Family of unknown function (DUF6002)
PF19466.2	DUF6003	Family of unknown function (DUF6003)
PF19467.2	DUF6004	Family of unknown function (DUF6004)
PF19468.2	DUF6005	Family of unknown function (DUF6005)
PF19469.2	DUF6006	Family of unknown function (DUF6006)
PF19470.2	DUF6007	Family of unknown function (DUF6007)
PF19471.2	DUF6008	Family of unknown function (DUF6008)
PF19472.2	DUF6009	Family of unknown function (DUF6009)
PF19473.2	DUF6010	Family of unknown function (DUF6010)
PF19474.2	DUF6011	Family of unknown function (DUF6011)
PF19475.2	DUF6012	Family of unknown function (DUF6012)
PF19476.2	DUF6013	Family of unknown function (DUF6013)
PF19477.2	DUF6014	Family of unknown function (DUF6014)
PF19479.2	DUF6015	Family of unknown function (DUF6015)
PF19480.2	DUF6016	Domain of unknown function (DUF6016)
PF19481.2	DUF6017	Family of unknown function (DUF6017)
PF19482.2	DUF6018	Family of unknown function (DUF6018)
PF19483.2	DUF6019	Family of unknown function (DUF6019)
PF19484.2	DUF6020	Family of unknown function (DUF6020)
PF19485.2	DUF6021	Family of unknown function (DUF6021)
PF19486.2	DUF6022	Family of unknown function (DUF6022)
PF19487.2	DUF6023	Family of unknown function (DUF6023)
PF19488.2	DUF6024	Family of unknown function (DUF6024)
PF19490.2	DUF6025	Family of unknown function (DUF6025)
PF19491.2	DUF6026	Family of unknown function (DUF6026)
PF19492.2	DUF6027	Family of unknown function (DUF6027)
PF19494.2	DUF6029	Family of unknown function (DUF6029)
PF19495.2	DUF6030	Family of unknown function (DUF6030)
PF19496.2	DUF6031	Family of unknown function (DUF6031)
PF19497.2	DUF6032	Family of unknown function (DUF6032)
PF19498.2	DUF6033	Protein of unknown function (DUF6033)
PF19499.2	DUF6034	Family of unknown function (DUF6034)
PF19500.2	DUF6035	Family of unknown function (DUF6035)
PF19502.2	DUF6036	Nucleotidyltransferase of unknown function (DUF6036)
PF19503.2	DUF6037	Family of unknown function (DUF6037)
PF19504.2	DUF6038	Family of unknown function (DUF6038)
PF19505.2	DUF6039	Family of unknown function (DUF6039)
PF19506.2	DUF6040	Family of unknown function (DUF6040)
PF19507.2	DUF6041	Family of unknown function (DUF6041)
PF19508.2	DUF6042	Family of unknown function (DUF6042)
PF19509.2	DUF6043	Family of unknown function (DUF6043)
PF19510.2	DUF6044	Protein of unknown function (DUF6044)
PF19511.2	DUF6045	Family of unknown function (DUF6045)
PF19512.2	DUF6046	Domain of unknown function (DUF6046)
PF19513.2	DUF6047	Family of unknown function (DUF6047)
PF19515.2	DUF6048	Domain of unknown function (DUF6048)
PF19516.2	DUF6049	Family of unknown function (DUF6049)
PF19517.2	DUF6050	Family of unknown function (DUF6050)
PF19519.2	DUF6051	Family of unknown function (DUF6051)
PF19522.2	DUF6052	Family of unknown function (DUF6052)
PF19523.2	DUF6053	Family of unknown function (DUF6053)
PF19524.2	DUF6054	Family of unknown function (DUF6054)
PF19527.2	DUF6055	Family of unknown function (DUF6055)
PF19528.2	DUF6056	Family of unknown function (DUF6056)
PF19529.2	DUF6057	Family of unknown function (DUF6057)
PF19531.2	DUF6058	Family of unknown function (DUF6058)
PF19534.2	DUF6059	Family of unknown function (DUF6059)
PF19535.2	DUF6060	Family of unknown function (DUF6060)
PF19537.2	DUF6061	Family of unknown function (DUF6061)
PF19538.2	DUF6062	Family of unknown function (DUF6062)
PF19539.2	DUF6063	Family of unknown function (DUF6063)
PF19540.2	DUF6064	Family of unknown function (DUF6064)
PF19541.2	DUF6065	Family of unknown function (DUF6065)
PF19542.2	DUF6066	Family of unknown function (DUF6066)
PF19543.2	DUF6067	Family of unknown function (DUF6067)
PF19544.2	DUF6068	Family of unknown function (DUF6068)
PF19545.2	DUF6069	Family of unknown function (DUF6069)
PF19546.2	DUF6070	Family of unknown function (DUF6070)
PF19547.2	DUF6071	Family of unknown function (DUF6071)
PF19549.2	DUF6072	Family of unknown function (DUF6072)
PF19550.2	DUF6073	Family of unknown function (DUF6073)
PF19551.2	DUF6074	Family of unknown function (DUF6074)
PF19552.2	DUF6075	Family of unknown function (DUF6075)
PF19553.2	DUF6076	Family of unknown function (DUF6076)
PF19554.2	DUF6077	Family of unknown function (DUF6077)
PF19555.2	DUF6078	Family of unknown function (DUF6078)
PF19557.2	DUF6079	Family of unknown function (DUF6079)
PF19558.2	DUF6080	Family of unknown function (DUF6080)
PF19559.2	DUF6081	Family of unknown function (DUF6081)
PF19560.2	DUF6082	Family of unknown function (DUF6082)
PF19561.2	DUF6083	Family of unknown function (DUF6083)
PF19562.2	DUF6084	Family of unknown function (DUF6084)
PF19563.2	DUF6085	Family of unknown function (DUF6085)
PF19564.2	DUF6086	Family of unknown function (DUF6086)
PF19565.2	DUF6087	Family of unknown function (DUF6087)
PF19570.2	DUF6088	Family of unknown function (DUF6088)
PF19573.2	DUF6089	Domain of unknown function (DUF6089)
PF19578.2	DUF6090	Family of unknown function (DUF6090)
PF19585.2	DUF6092	Family of unknown function (DUF6092)
PF19586.2	DUF6093	Family of unknown function (DUF6093)
PF19587.2	DUF6094	Uncharacterised methyltransferase family (DUF6094)
PF19589.2	DUF6095	Family of unknown function (DUF6095)
PF19591.2	DUF6096	Family of unknown function (DUF6096)
PF19592.2	DUF6097	Family of unknown function (DUF6097)
PF19593.2	DUF6098	Family of unknown function (DUF6098)
PF19594.2	DUF6099	Family of unknown function (DUF6099)
PF19595.2	DUF6100	Family of unknown function (DUF6100)
PF19596.2	DUF6101	Family of unknown function (DUF6101)
PF19597.2	DUF6102	Family of unknown function (DUF6102)
PF19598.2	DUF6103	Family of unknown function (DUF6103)
PF19599.2	DUF6104	Family of unknown function (DUF6104)
PF19600.2	DUF6105	Family of unknown function (DUF6105)
PF19601.2	DUF6106	Family of unknown function (DUF6106)
PF19602.2	DUF6107	Family of unknown function (DUF6107)
PF19603.2	DUF6108	Family of unknown function (DUF6108)
PF19604.2	DUF6109	Family of unknown function (DUF6109)
PF19605.2	DUF6110	Family of unknown function (DUF6110)
PF19606.2	DUF6111	Family of unknown function (DUF6111)
PF19607.2	DUF6112	Family of unknown function (DUF6112)
PF19608.2	DUF6113	Family of unknown function (DUF6113)
PF19609.2	DUF6114	Family of unknown function (DUF6114)
PF19610.2	DUF6115	Family of unknown function (DUF6115)
PF19611.2	DUF6116	Family of unknown function (DUF6116)
PF19612.2	DUF6117	Family of unknown function (DUF6117)
PF19613.2	DUF6118	Family of unknown function (DUF6118)
PF19614.2	DUF6119	Family of unknown function (DUF6119)
PF19615.2	DUF6120	Family of unknown function (DUF6120)
PF19616.2	DUF6121	Family of unknown function (DUF6121)
PF19617.2	DUF6122	Family of unknown function (DUF6122)
PF19618.2	DUF6123	Family of unknown function (DUF6123)
PF19619.2	DUF6124	Family of unknown function (DUF6124)
PF19620.2	DUF6125	Family of unknown function (DUF6125)
PF19621.2	DUF6126	Family of unknown function (DUF6126)
PF19622.2	DUF6127	Family of unknown function (DUF6127)
PF19623.2	DUF6128	Family of unknown function (DUF6128)
PF19624.2	DUF6129	Family of unknown function (DUF6129)
PF19625.2	DUF6130	Family of unknown function (DUF6130)
PF19626.2	DUF6131	Family of unknown function (DUF6131)
PF19628.2	DUF6132	Family of unknown function (DUF6132)
PF19629.2	DUF6133	Family of unknown function (DUF6133)
PF19630.2	DUF6134	Domain of unknown function (DUF6134)
PF19632.2	DUF6136	Family of unknown function (DUF6136)
PF19634.2	DUF6137	Family of unknown function (DUF6137)
PF19635.2	DUF6138	Family of unknown function (DUF6138)
PF19636.2	DUF6139	Family of unknown function (DUF6139)
PF19637.2	DUF6140	Family of unknown function (DUF6140)
PF19638.2	DUF6141	Family of unknown function (DUF6141)
PF19639.2	DUF6142	Family of unknown function (DUF6142)
PF19640.2	DUF6143	Family of unknown function (DUF6143)
PF19641.2	DUF6144	Family of unknown function (DUF6144)
PF19642.2	DUF6145	Family of unknown function (DUF6145)
PF19643.2	DUF6146	Family of unknown function (DUF6146)
PF19644.2	DUF6147	Family of unknown function (DUF6147)
PF19645.2	DUF6148	Family of unknown function (DUF6148)
PF19646.2	DUF6149	Family of unknown function (DUF6149)
PF19647.2	DUF6150	Family of unknown function (DUF6150)
PF19648.2	DUF6151	Family of unknown function (DUF6151)
PF19649.2	DUF6152	Family of unknown function (DUF6152)
PF19650.2	DUF6153	Family of unknown function (DUF6153)
PF19651.2	DUF6154	Family of unknown function (DUF6154)
PF19652.2	DUF6155	Family of unknown function (DUF6155)
PF19653.2	DUF6156	Family of unknown function (DUF6156)
PF19654.2	DUF6157	Family of unknown function (DUF6157)
PF19655.2	DUF6158	Family of unknown function (DUF6158)
PF19656.2	DUF6159	Family of unknown function (DUF6159)
PF19657.2	DUF6160	Family of unknown function (DUF6160)
PF19658.2	DUF6161	Family of unknown function (DUF6161)
PF19659.2	DUF6162	Family of unknown function (DUF6162)
PF19660.2	DUF6163	Family of unknown function (DUF6163)
PF19661.2	DUF6164	Family of unknown function (DUF6164)
PF19662.2	DUF6165	Family of unknown function (DUF6165)
PF19663.2	DUF6166	Family of unknown function (DUF6166)
PF19664.2	DUF6167	Family of unknown function (DUF6167)
PF19665.2	DUF6168	Family of unknown function (DUF6168)
PF19666.2	DUF6169	Family of unknown function (DUF6169)
PF19667.2	DUF6170	Family of unknown function (DUF6170)
PF19668.2	DUF6171	Family of unknown function (DUF6171)
PF19669.2	DUF6172	Family of unknown function (DUF6172)
PF19670.2	DUF6173	Family of unknown function (DUF6173)
PF19671.2	DUF6174	Family of unknown function (DUF6174)
PF19672.2	DUF6175	Family of unknown function (DUF6175)
PF19673.2	DUF6176	Family of unknown function (DUF6176)
PF19674.2	DUF6177	Family of unknown function (DUF6177)
PF19676.2	DUF6178	Family of unknown function (DUF6178)
PF19677.2	DUF6179	Family of unknown function (DUF6179)
PF19678.2	DUF6180	Family of unknown function (DUF6180)
PF19679.2	DUF6181	Family of unknown function (DUF6181)
PF19680.2	DUF6182	Family of unknown function (DUF6182)
PF19681.2	DUF6183	Family of unknown function (DUF6183)
PF19682.2	DUF6184	Family of unknown function (DUF6184)
PF19683.2	DUF6185	Family of unknown function (DUF6185)
PF19684.2	DUF6186	Family of unknown function (DUF6186)
PF19685.2	DUF6187	Family of unknown function (DUF6187)
PF19686.2	DUF6188	Family of unknown function (DUF6188)
PF19688.2	DUF6189	Family of unknown function (DUF6189)
PF19689.2	DUF6190	Family of unknown function (DUF6190)
PF19690.2	DUF6191	Family of unknown function (DUF6191)
PF19691.2	DUF6192	Family of unknown function (DUF6192)
PF19692.2	DUF6193	Family of unknown function (DUF6193)
PF19694.2	DUF6194	Family of unknown function (DUF6194)
PF19695.2	DUF6195	Family of unknown function (DUF6195)
PF19696.2	DUF6196	Family of unknown function (DUF6196)
PF19698.2	DUF6197	Family of unknown function (DUF6197)
